dbh,n,cl,sp,time,ca_ind,ca_cohort,cumca
90.5,0.3544,1,3,0,163.24979567703448,57.85572758794102,57.85572758794102
84.5,0.3544,1,4,0,154.49748257146447,54.75390782332701,112.60963541126803
89.5,0.3544,1,2,0,148.9182439783027,52.77662566591048,165.38626107717852
87.5,0.3544,1,2,0,145.42981129147915,51.540325121700214,216.92658619887874
72.5,0.3544,1,3,0,137.36023243000776,48.68046637319475,265.6070525720735
82.5,0.3544,1,2,0,136.08681582664968,48.229167528964645,313.8362201010381
81.5,0.3544,1,2,0,134.11886301972407,47.53172505419021,361.3679451552283
69.5,0.3544,1,3,0,132.08925786497926,46.81243298734865,408.18037814257696
77.5,0.3544,1,5,0,131.61342273835342,46.643797018472455,454.8241751610494
79.5,1.0633,1,2,0,130.09291995408896,138.32780178718278,593.1519769482322
66.5,0.3544,1,3,0,126.57036484320363,44.85653730043137,638.0085142486636
77.5,0.7089,1,2,0,125.95636950833085,89.29047034445574,727.2989845931193
76.5,0.7089,1,2,0,123.85051677580728,87.79763134236978,815.096615935489
75.5,0.3544,1,2,0,121.72187417620947,43.138232208048635,858.2348481435376
74.5,0.7089,1,2,0,119.5722438527271,84.76476366719824,942.9996118107359
73.5,0.3544,1,5,0,118.37892555096484,41.953491215261934,984.9531030259978
73.5,0.3544,1,2,0,117.40350624261413,41.60780261238244,1026.5609056383803
71.5,0.3544,1,7,0,116.91493307988257,41.43465228351038,1067.9955579218906
72.5,0.7089,1,2,0,115.2176140890548,81.67776662773095,1149.6733245496216
71.5,1.4177,1,2,0,113.01658588527076,160.22361380954834,1309.89693835917
69.5,0.3544,1,6,0,111.75204549416603,39.60492492313244,1349.5018632823023
70.5,1.4177,1,2,0,110.80249879304938,157.0847025389061,1506.5865658212085
68.5,0.3544,1,7,0,109.14433989637949,38.68075405927689,1545.2673198804855
70.5,0.3544,1,5,0,108.62260255317663,38.4958503448458,1583.7631702253314
69.5,1.4177,1,2,0,108.57748108493635,153.93029493411427,1737.6934651594456
67.5,0.3544,1,7,0,106.52374421433876,37.752014949561655,1775.4454801090073
68.5,0.3544,1,2,0,106.34370416587072,37.68820875638458,1813.1336888653918
69.5,0.3544,1,5,0,105.42826459110975,37.363776971089294,1850.497465836481
67.5,0.3544,1,2,0,104.10337423591179,36.89423582920713,1887.3917016656883
66.5,0.3544,1,7,0,103.8938142976203,36.819967787076635,1924.211669452765
66.5,0.7089,1,2,0,101.85872366078996,72.207649203134,1996.419318655899
64.5,0.3544,1,7,0,98.62041184039353,34.95107395623547,2031.3703926121343
