"","Tree_ID","PLOTID","DBH24","SP","Status","H24","Wood_Density","a","b","c","Carbon_Above","Carbon_Below","Carbon_Total"
"36","P81.B36.0",81,6.1,"Ulm_spe","Alive",5.099999905,0.508,1.94295,1.29229,-4.20064,0.98602801233898,0.295808403701694,1.28183641604067
"37","P81.B38.0",81,12,"Til_spe","Alive",6.699999809,0.422,1.94295,1.29229,-4.20064,4.33929253488279,1.30178776046484,5.64108029534762
"38","P81.B39.0",81,29,"Ulm_spe","Alive",13.10000038,0.508,1.94295,1.29229,-4.20064,69.0003870258036,20.7001161077411,89.7005031335447
"39","P81.B40.0",81,12.1,"Ulm_spe","Alive",3.400000095,0.508,1.94295,1.29229,-4.20064,2.20937552359756,0.662812657079267,2.87218818067682
"40","P81.B41.0",81,13.5,"Ace_pse","Alive",12.30000019,0.51,1.89756,0.97716,-2.94253,20.4942166619203,6.14826499857608,26.6424816604963
"41","P81.B42.0",81,10.2,"Ace_pse","Alive",11.5,0.51,1.89756,0.97716,-2.94253,11.2744232834451,3.38232698503353,14.6567502684786
"42","P81.B43.0",81,16.3,"Ulm_spe","Alive",12.5,0.508,1.94295,1.29229,-4.20064,21.2027671752854,6.36083015258562,27.563597327871
"43","P81.B44.0",81,14.1,"Ulm_spe","Dead",11.10000038,0.508,1.94295,1.29229,-4.20064,13.7208976311012,4.11626928933036,17.8371669204315
"44","P81.B45.0",81,7.6,"Til_spe","Alive",8.100000381,0.422,1.94295,1.29229,-4.20064,2.28296070843921,0.684888212531764,2.96784892097098
"45","P81.B46.0",81,13.1,"Til_spe","Alive",10.10000038,0.422,1.94295,1.29229,-4.20064,8.74525121676769,2.62357536503031,11.368826581798
"46","P81.B47.1",81,20.5,"Ulm_spe","Alive",15.39999962,0.508,1.94295,1.29229,-4.20064,43.345109116496,13.0035327349488,56.3486418514447
"47","P81.B47.2",81,6.6,"Ulm_spe","Alive",5,0.508,1.94295,1.29229,-4.20064,1.12008668402757,0.33602600520827,1.45611268923584
"48","P81.B48.1",81,13,"Ulm_spe","Dead",12.5,0.508,1.94295,1.29229,-4.20064,13.6618299343193,4.09854898029579,17.7603789146151
"49","P81.B48.2",81,10,"Ulm_spe","Dead",9,0.508,1.94295,1.29229,-4.20064,5.36728739230851,1.61018621769255,6.97747361000106
"50","P81.B49.0",81,8,"Til_spe","Alive",7.800000191,0.422,1.94295,1.29229,-4.20064,2.40214475365392,0.720643426096176,3.1227881797501
"51","P81.B50.0",81,7,"Car_bet","Alive",8.5,0.706,0.00021491,2.258957614,0.001411006,41.8037199787091,12.5411159936127,54.3448359723218
"52","P81.B51.0",81,34.9,"Que_rob","Alive",31.79999924,0.56,2.00333,0.85925,-2.86353,361.759182589947,108.527754776984,470.286937366931
"53","P81.B52.0",81,7.4,"Til_spe","Alive",7.5,0.422,1.94295,1.29229,-4.20064,1.96246638448065,0.588739915344194,2.55120629982484
"54","P81.B53.0",81,7.2,"Ace_pse","Dead",8.899999619,0.51,1.89756,0.97716,-2.94253,4.53199335961391,1.35959800788417,5.89159136749808
"55","P81.B54.0",81,13.6,"Til_spe","Alive",6.5,0.422,1.94295,1.29229,-4.20064,5.32138596825168,1.5964157904755,6.91780175872719
"56","P81.B55.0",81,12.4,"Ace_pse","Alive",11.30000019,0.51,1.89756,0.97716,-2.94253,16.0547254839619,4.81641764518856,20.8711431291504
