sp,SP,Species_Name,k,p
4,SAH,Ace_pla,2.6685227714058333,0.6073763757285834
1,BAH,Ace_pse,2.82157384964318,0.5134234470591041
3,HBU,Car_bet,1.1486244414216724,0.843509305258925
2,GES,Fra_exc,3.951897692620843,0.5183984056333608
5,SEI,Que_rob,8.62866109840432,0.32569481164718067
7,WLI,Til_spe,1.0585102500137973,0.8888037085643616
6,UL,Ulm_spe,2.82231852357638,0.44037826473298847
