SP,Status,Tree_count,Total_Aboveground_Carbon,Total_Belowground_Carbon,Total_Carbon_Stock
Ace_pla,Alive,12,431.4376947822028,129.43130843466085,560.8690032168636
Ace_pla,New Trees,1,1.9979933980558358,0.5993980194167507,2.5973914174725863
Ace_pse,Alive,26,202.8993692286433,60.86981076859298,263.7691799972362
Ace_pse,Dead,4,27.20979697338454,8.162939092015364,35.372736065399906
Ace_pse,New Trees,2,6.598613741820227,1.979584122546068,8.578197864366295
Car_bet,Alive,56,16063.737860003836,4819.121358001148,20882.859218004982
Car_bet,New Trees,8,323.6137677633498,97.08413032900495,420.69789809235476
Fra_exc,Alive,4,2405.995305445375,721.7985916336124,3127.7938970789874
Fra_exc,Dead,3,3574.210348689448,1072.2631046068343,4646.473453296282
Que_rob,Alive,44,30262.898746831746,9078.869624049526,39341.76837088126
Que_rob,Dead,2,641.2628640467649,192.3788592140295,833.6417232607944
Til_spe,Alive,80,759.9706866484684,227.99120599454065,987.9618926430086
Til_spe,Dead,1,5.124077063513898,1.5372231190541694,6.661300182568067
Til_spe,New Trees,19,23.95806497500536,7.187419492501608,31.14548446750697
Ulm_spe,Alive,44,419.3955484464999,125.81866453394997,545.2142129804498
Ulm_spe,Dead,9,99.31946635555529,29.795839906666583,129.11530626222185
Ulm_spe,New Trees,14,126.90574385114084,38.071723155342255,164.9774670064831
