sp,G1,G2,mu1,mu2,rec_ha,inflection,steepness,param1,param2,a,b,c
BAH,0.28750000000000014,0.115,0.03853766995681456,0.034940485593789684,1,65.5827890255638,22.2967111290239,-0.403940260811873,200,1.89756,0.97716,-2.94253
GES,0.05624999999999991,0.326479647675222,0.1399039469838557,0.0111,2.39614533142336,77.0608835587086,18.0586505923108,10.3128575575253,250,1.95277,0.77206,-2.48079
HBU,0.3426470588235296,0.36136363636363616,0.0063,0.0034,4,46.5397154093817,26.5568432561011,-29.1300390430498,200,2.1491e-4,2.258957614,0.001411006
SAH,0.4916666666666667,0.3972222222222223,0.0314,0.0245,0.5,65.5827890255638,22.2967111290239,-0.403940260811873,200,1.89756,0.97716,-2.94253
SEI,0.30486111111111114,0.3124999999999996,0.0334,0.0828,0,77.0608835587086,18.0586505923108,10.3128575575253,250,2.00333,0.85925,-2.86353
UL,1.205,0.5397058823529411,0.04558038919848865,0.04680288552203662,7,64.9278447315924,19.0019997679197,-0.50204234269726,200,1.94295,1.29229,-4.20064
WLI,0.5083333333333333,0.5088461538461538,0.0262,0.003816868032697105,9.5,64.9278447315924,19.0019997679197,-0.50204234269726,200,1.94295,1.29229,-4.20064
