BAUM_CODE,PLOTID,BAUMNR,ZWIESELNR,Code,Northing,Easting,Elevation,BAUMART20,BHD20,hKA20,hBAUM20,KRAFT20,SCHIRM20,VITALITAET,S1_Verletz,S2_WKB20,S3_TRO20,S4_FAEULE2,S5_PILZKON,S6_PILZson,S7_SCHAELU,S8_BORKK20,S9_SONSTIG,S10_ETS20,S11_UL_Ste,S12_RUSS20,BEMERKUNG2,BEMERKUNG3,BEMERKUNG4,ca,cl
P81.B1.0,81,1,0,BAUM,5687974.38749044,315430.037185028,108.802172550593,Ulm_spe,16.9,2.40000009536743,13.8000001907349,4 = beherrscht/unterdrueckt,1 = ja,2 = normal,1 = leicht,1 = leicht,0 = kein Schaden,1 = leicht,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Käferbefall am Stamm,0 = kein Schaden,NA,NA,NA,NA,NA,NA,14.325409951775042,2
P81.B3.0,81,3,0,BAUM,5687979.17891676,315424.165884224,108.633819323247,Car_bet,6.5,1.79999995231628,10.1000003814697,4 = beherrscht/unterdrueckt,1 = ja,2 = normal,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,1 = leicht,0 = kein Schaden,0 = kein Schaden,1 = leicht,0 = kein Käferbefall am Stamm,0 = kein Schaden,NA,NA,NA,NA,NA,NA,12.4066798492454,2
P81.B4.0,81,4,0,BAUM,5687980.67104193,315421.351500646,108.614519518012,Ulm_spe,7.8,1.79999995231628,8,5 = ganz unterstaendig,1 = ja,2 = normal,1 = leicht,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,1 = leicht,0 = kein Käferbefall am Stamm,0 = kein Schaden,NA,NA,NA,NA,NA,NA,8.94902818303147,2
P81.B6.0,81,6,0,BAUM,5687973.28434871,315412.596771832,108.619305092772,Car_bet,35.6,8.5,21.2999992370605,4 = beherrscht/unterdrueckt,1 = ja,2 = normal,1 = leicht,1 = leicht,1 = leicht,1 = leicht,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Käferbefall am Stamm,0 = kein Schaden,NA,NA,NA,NA,NA,NA,62.166374801873914,2
P81.B7.0,81,7,0,BAUM,5687973.82115054,315414.603530631,108.607870609671,Car_bet,28.6,10,22.7000007629395,3 = mitherrschend,3 = teilweise,2 = normal,1 = leicht,1 = leicht,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Käferbefall am Stamm,0 = kein Schaden,NA,NA,NA,NA,NA,NA,48.14672820316765,2
P81.B8.0,81,8,0,BAUM,5687971.40684527,315415.221962182,108.601783318486,Car_bet,26.4,6.80000019073486,18.7000007629395,4 = beherrscht/unterdrueckt,1 = ja,3 = kuemmernd,1 = leicht,1 = leicht,1 = leicht,1 = leicht,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Käferbefall am Stamm,0 = kein Schaden,NA,NA,NA,Bogenlampe,NA,NA,43.96287407134232,2
P81.B9.0,81,9,0,BAUM,5687970.90706366,315413.383216263,108.626470214703,Car_bet,23.6,9.39999961853027,17.5,4 = beherrscht/unterdrueckt,1 = ja,2 = normal,1 = leicht,1 = leicht,0 = kein Schaden,1 = leicht,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Käferbefall am Stamm,0 = kein Schaden,NA,NA,NA,NA,NA,NA,38.81771849646004,2
P81.B12.0,81,12,0,BAUM,5687970.79676996,315427.251456256,108.590293878419,Til_cor,7.6,2.5,5.40000009536743,5 = ganz unterstaendig,1 = ja,2 = normal,1 = leicht,0 = kein Schaden,0 = kein Schaden,1 = leicht,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Käferbefall am Stamm,0 = kein Schaden,NA,NA,NA,NA,NA,NA,8.854693148117944,2
P81.B14.0,81,14,0,BAUM,5687967.84945106,315421.876655057,108.596008096259,Til_cor,7.8,2,8,5 = ganz unterstaendig,1 = ja,2 = normal,1 = leicht,0 = kein Schaden,1 = leicht,1 = leicht,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Käferbefall am Stamm,0 = kein Schaden,NA,NA,NA,NA,NA,NA,8.94902818303147,2
P81.B15.0,81,15,0,BAUM,5687964.5857272,315421.144338395,108.711972287214,Que_rob,111.6,15.8000001907349,38.9000015258789,2 = herrschend,2 = nein,2 = normal,0 = kein Schaden,1 = leicht,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,1 = vereinzelte Einbohrversuche,0 = kein Schaden,NA,NA,NA,NA,NA,NA,219.15510268946036,1
P81.B16.0,81,16,0,BAUM,5687963.56688105,315421.099224416,108.699644720601,Ulm_min,9.7,6.59999990463257,10.6999998092651,4 = beherrscht/unterdrueckt,1 = ja,2 = normal,0 = kein Schaden,1 = leicht,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Käferbefall am Stamm,0 = kein Schaden,NA,NA,NA,NA,NA,NA,9.891376922075528,2
P81.B17.0,81,17,0,BAUM,5687962.12252842,315419.772248257,108.714013454511,Que_rob,84.3,20.7000007629395,38.7000007629395,2 = herrschend,2 = nein,2 = normal,0 = kein Schaden,2 = mittel,0 = kein Schaden,1 = leicht,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Käferbefall am Stamm,0 = kein Schaden,NA,NA,NA,NA,NA,NA,153.86051397784638,1
P81.B18.0,81,18,0,BAUM,5687960.41370668,315419.957236033,108.646453050428,Ulm_min,7.4,4.19999980926514,8.19999980926514,4 = beherrscht/unterdrueckt,1 = ja,2 = normal,0 = kein Schaden,0 = kein Schaden,1 = leicht,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Käferbefall am Stamm,0 = kein Schaden,NA,NA,NA,NA,NA,NA,8.761254055852563,2
P81.B19.0,81,19,0,BAUM,5687963.78986214,315415.642007979,108.621924336141,Ulm_spe,5.2,4.09999990463257,8.19999980926514,5 = ganz unterstaendig,1 = ja,2 = normal,1 = leicht,0 = kein Schaden,0 = kein Schaden,1 = leicht,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Käferbefall am Stamm,0 = kein Schaden,NA,NA,NA,NA,NA,NA,7.790415565195449,2
P81.B20.0,81,20,0,BAUM,5687959.1931988,315415.719631734,108.698251256796,Ulm_spe,12.5,5,9.89999961853027,4 = beherrscht/unterdrueckt,1 = ja,2 = normal,0 = kein Schaden,1 = leicht,1 = leicht,1 = leicht,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Käferbefall am Stamm,0 = kein Schaden,NA,NA,NA,NA,NA,NA,11.443159162021578,2
P81.B22.0,81,22,0,BAUM,5687966.02106955,315408.962468348,108.626009651426,Til_cor,7.6,3.70000004768372,8.30000019073486,5 = ganz unterstaendig,1 = ja,2 = normal,1 = leicht,1 = leicht,1 = leicht,1 = leicht,0 = kein Schaden,1 = leicht,0 = kein Schaden,0 = kein Käferbefall am Stamm,0 = kein Schaden,NA,NA,NA,NA,NA,NA,8.854693148117944,2
P81.B23.0,81,23,0,BAUM,5687962.47089716,315408.645416086,108.591815944005,Ulm_spe,5.2,4.69999980926514,7.69999980926514,5 = ganz unterstaendig,1 = ja,2 = normal,1 = leicht,0 = kein Schaden,0 = kein Schaden,1 = leicht,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Käferbefall am Stamm,0 = kein Schaden,NA,NA,NA,NA,NA,NA,7.790415565195449,2
P81.B24.0,81,24,0,BAUM,5687959.35124637,315408.273043803,108.80859218673601,Que_rob,110,11,40,1 = vorherrschend,2 = nein,2 = normal,0 = kein Schaden,1 = leicht,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Käferbefall am Stamm,0 = kein Schaden,NA,NA,NA,NA,NA,NA,216.69458858615866,1
P81.B25.0,81,25,0,BAUM,5687961.83529932,315408.982365102,108.668897272995,Ulm_spe,6.8,5,7.90000009536743,5 = ganz unterstaendig,1 = ja,2 = normal,1 = leicht,1 = leicht,1 = leicht,1 = leicht,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Käferbefall am Stamm,0 = kein Schaden,NA,NA,NA,NA,NA,NA,8.486236654578152,2
P81.B26.1,81,26,1,BAUM,5687953.44323503,315408.454640622,108.709050758932,Ulm_spe,15.6,4.30000019073486,10.8000001907349,4 = beherrscht/unterdrueckt,1 = ja,2 = normal,0 = kein Schaden,2 = mittel,1 = leicht,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Käferbefall am Stamm,0 = kein Schaden,NA,NA,NA,NA,NA,NA,13.412974749047452,2
P81.B26.2,81,26,2,BAUM,5687953.45162556,315408.313079845,108.632050143539,Ulm_spe,7.2,3.09999990463257,7.90000009536743,5 = ganz unterstaendig,1 = ja,3 = kuemmernd,1 = leicht,2 = mittel,2 = mittel,1 = leicht,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Käferbefall am Stamm,0 = kein Schaden,NA,NA,NA,NA,NA,NA,8.66870330500405,2
P81.B27.0,81,27,0,BAUM,5687955.44595798,315405.468227415,108.693301229543,Ulm_spe,12.2,5.19999980926514,12,4 = beherrscht/unterdrueckt,1 = ja,3 = kuemmernd,2 = mittel,1 = leicht,1 = leicht,2 = mittel,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Käferbefall am Stamm,0 = kein Schaden,NA,NA,NA,NA,NA,NA,11.267034318323258,1
P81.B28.0,81,28,0,BAUM,5687953.67395133,315405.266745366,108.624891298498,Ulm_spe,6.8,5,11.1999998092651,4 = beherrscht/unterdrueckt,1 = ja,3 = kuemmernd,2 = mittel,1 = leicht,0 = kein Schaden,2 = mittel,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Käferbefall am Stamm,0 = kein Schaden,NA,NA,NA,NA,NA,NA,8.486236654578152,2
P81.B29.0,81,29,0,BAUM,5687949.28620488,315406.332088617,108.740704744799,Fra_exc,86.5,11.1999998092651,31.7000007629395,2 = herrschend,2 = nein,3 = kuemmernd,0 = kein Schaden,3 = stark,2 = mittel,1 = leicht,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,1 = vereinzelte Einbohrversuche,0 = kein Schaden,NA,NA,NA,NA,NA,NA,160.78295318163273,1
P81.B30.0,81,30,0,BAUM,5687950.60259975,315408.652685439,108.788150446126,Ulm_spe,7.5,3.40000009536743,6.69999980926514,5 = ganz unterstaendig,1 = ja,3 = kuemmernd,1 = leicht,2 = mittel,0 = kein Schaden,1 = leicht,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Käferbefall am Stamm,0 = kein Schaden,NA,NA,NA,BOGENLAMPE,NA,NA,8.807862085316783,2
P81.B34.0,81,34,0,BAUM,5687956.19606848,315412.824955486,108.67758466798,Ulm_spe,15.3,5.69999980926514,11.3000001907349,4 = beherrscht/unterdrueckt,1 = ja,2 = normal,0 = kein Schaden,1 = leicht,1 = leicht,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Käferbefall am Stamm,0 = kein Schaden,NA,NA,NA,NA,NA,NA,13.209918232091564,2
P81.B35.0,81,35,0,BAUM,5687955.009268,315415.775910692,108.641113434414,Ulm_spe,7,1.79999995231628,3,5 = ganz unterstaendig,1 = ja,3 = kuemmernd,1 = leicht,3 = stark,1 = leicht,2 = mittel,0 = kein Schaden,2 = mittel,0 = kein Schaden,0 = kein Käferbefall am Stamm,0 = kein Schaden,NA,NA,NA,Bogenlampe,NA,NA,8.577033340710955,2
P81.B36.0,81,36,0,BAUM,5687952.90855979,315413.678351108,108.684267712941,Ulm_spe,8.5,2.90000009536743,5.09999990463257,5 = ganz unterstaendig,1 = ja,3 = kuemmernd,0 = kein Schaden,2 = mittel,1 = leicht,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Käferbefall am Stamm,0 = kein Schaden,NA,NA,NA,Bogenlampe,NA,NA,9.286367180328334,2
P81.B38.0,81,38,0,BAUM,5687949.34952528,315414.721145094,108.686704221941,Til_cor,7,3.29999995231628,6.69999980926514,4 = beherrscht/unterdrueckt,1 = ja,2 = normal,0 = kein Schaden,1 = leicht,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Käferbefall am Stamm,0 = kein Schaden,NA,NA,NA,NA,NA,NA,8.577033340710955,2
P81.B39.0,81,39,0,BAUM,5687941.74806291,315412.228320058,108.695205950711,Ulm_min,14.9,7.19999980926514,13.1000003814697,4 = beherrscht/unterdrueckt,3 = teilweise,2 = normal,1 = leicht,0 = kein Schaden,0 = kein Schaden,1 = leicht,0 = kein Schaden,1 = leicht,0 = kein Schaden,0 = kein Käferbefall am Stamm,0 = kein Schaden,NA,NA,NA,NA,NA,NA,12.943446377057645,1
P81.B40.0,81,40,0,BAUM,5687942.63262365,315410.389661783,108.612747634103,Ulm_min,11,1.39999997615814,3.40000009536743,5 = ganz unterstaendig,1 = ja,3 = kuemmernd,1 = leicht,2 = mittel,0 = kein Schaden,2 = mittel,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Käferbefall am Stamm,0 = kein Schaden,NA,NA,NA,Bogenlampe,NA,NA,10.586617195771025,2
P81.B41.0,81,41,0,BAUM,5687939.57975083,315408.155756148,108.751288681416,Ace_pse,13.2,5.59999990463257,12.3000001907349,4 = beherrscht/unterdrueckt,1 = ja,2 = normal,1 = leicht,1 = leicht,1 = leicht,1 = leicht,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Käferbefall am Stamm,0 = kein Schaden,NA,NA,NA,NA,NA,NA,17.05473266626961,1
P81.B42.0,81,42,0,BAUM,5687941.37734628,315405.772749939,108.660723361599,Ace_pse,9.6,4.80000019073486,11.5,4 = beherrscht/unterdrueckt,1 = ja,2 = normal,1 = leicht,0 = kein Schaden,1 = leicht,1 = leicht,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Käferbefall am Stamm,0 = kein Schaden,NA,NA,NA,NA,NA,NA,14.647172317608309,2
P81.B43.0,81,43,0,BAUM,5687943.59259686,315406.642441064,108.659069563263,Ulm_min,11.3,4,12.5,4 = beherrscht/unterdrueckt,1 = ja,2 = normal,0 = kein Schaden,2 = mittel,1 = leicht,1 = leicht,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Käferbefall am Stamm,0 = kein Schaden,NA,NA,NA,NA,NA,NA,10.753166800336096,1
P81.B44.0,81,44,0,BAUM,5687945.21090249,315404.840119366,108.717022088725,Ulm_spe,14.1,4.5,11.1000003814697,4 = beherrscht/unterdrueckt,1 = ja,2 = normal,0 = kein Schaden,1 = leicht,1 = leicht,1 = leicht,0 = kein Schaden,1 = leicht,0 = kein Schaden,0 = kein Käferbefall am Stamm,0 = kein Schaden,NA,NA,NA,NA,NA,NA,12.424868812908164,2
P81.B45.0,81,45,0,BAUM,5687945.13212985,315403.211942349,108.607808034211,Til_cor,5.2,3.90000009536743,8.10000038146973,5 = ganz unterstaendig,1 = ja,2 = normal,1 = leicht,0 = kein Schaden,0 = kein Schaden,1 = leicht,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Käferbefall am Stamm,0 = kein Schaden,NA,NA,NA,NA,NA,NA,7.790415565195449,2
P81.B46.0,81,46,0,BAUM,5687943.04039924,315403.138211538,108.695698410177,Til_cor,7.8,5,10.1000003814697,4 = beherrscht/unterdrueckt,1 = ja,2 = normal,1 = leicht,0 = kein Schaden,0 = kein Schaden,1 = leicht,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Käferbefall am Stamm,0 = kein Schaden,NA,NA,NA,NA,NA,NA,8.94902818303147,2
P81.B47.1,81,47,1,BAUM,5687950.54366742,315401.35090619,108.652702766793,Ulm_spe,16.5,5.69999980926514,15.3999996185303,4 = beherrscht/unterdrueckt,1 = ja,2 = normal,0 = kein Schaden,0 = kein Schaden,1 = leicht,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Käferbefall am Stamm,0 = kein Schaden,NA,NA,NA,NA,NA,NA,14.038947706670793,1
P81.B47.2,81,47,2,BAUM,5687950.3139135,315401.51858307,108.667235341807,Ulm_spe,5.3,2.20000004768372,5,5 = ganz unterstaendig,1 = ja,3 = kuemmernd,0 = kein Schaden,2 = mittel,0 = kein Schaden,1 = leicht,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Käferbefall am Stamm,0 = kein Schaden,NA,NA,NA,Bogenlampe,NA,NA,7.8323517292858025,2
P81.B48.1,81,48,1,BAUM,5687948.07576187,315400.475143123,108.736536264849,Ulm_spe,13,3.5,12.5,4 = beherrscht/unterdrueckt,1 = ja,2 = normal,1 = leicht,0 = kein Schaden,1 = leicht,2 = mittel,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,1 = vereinzelte Einbohrversuche,0 = kein Schaden,NA,NA,NA,NA,NA,NA,11.742196000389779,1
P81.B48.2,81,48,2,BAUM,5687948.09372005,315400.350329451,108.752179703841,Ulm_spe,10,5.5,9,4 = beherrscht/unterdrueckt,1 = ja,2 = normal,0 = kein Schaden,1 = leicht,1 = leicht,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Käferbefall am Stamm,0 = kein Schaden,NA,NA,NA,NA,NA,NA,10.048065775561252,2
P81.B49.0,81,49,0,BAUM,5687945.09384907,315400.114155453,108.749456388928,Til_cor,6,3.70000004768372,7.80000019073486,5 = ganz unterstaendig,1 = ja,2 = normal,1 = leicht,0 = kein Schaden,0 = kein Schaden,1 = leicht,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Käferbefall am Stamm,0 = kein Schaden,NA,NA,NA,NA,NA,NA,8.131634154629474,2
P81.B50.0,81,50,0,BAUM,5687941.60594884,315397.905846829,108.694578848694,Car_bet,6.5,3.29999995231628,8.5,5 = ganz unterstaendig,1 = ja,2 = normal,1 = leicht,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Käferbefall am Stamm,0 = kein Schaden,NA,NA,NA,NA,NA,NA,12.4066798492454,2
P81.B51.0,81,51,0,BAUM,5687942.23458359,315399.690084363,108.75117468479,Que_rob,33.3,18.2000007629395,31.7999992370605,3 = mitherrschend,3 = teilweise,2 = normal,0 = kein Schaden,2 = mittel,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Käferbefall am Stamm,0 = kein Schaden,NA,NA,NA,NA,NA,NA,29.82717620260714,1
P81.B52.0,81,52,0,BAUM,5687942.41703521,315400.587437587,108.728678867723,Til_cor,5.6,3.20000004768372,7.5,5 = ganz unterstaendig,1 = ja,2 = normal,1 = leicht,0 = kein Schaden,0 = kein Schaden,1 = leicht,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Käferbefall am Stamm,0 = kein Schaden,NA,NA,NA,NA,NA,NA,7.959380783490162,2
P81.B53.0,81,53,0,BAUM,5687939.28545614,315406.139945343,108.665954082194,Ace_pse,7.2,4.59999990463257,8.89999961853027,5 = ganz unterstaendig,1 = ja,3 = kuemmernd,1 = leicht,2 = mittel,3 = stark,1 = leicht,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Käferbefall am Stamm,0 = kein Schaden,NA,NA,3 = stark,NA,NA,NA,13.215612697834,2
P81.B54.0,81,54,0,BAUM,5687933.65979056,315410.401177695,108.796813056666,Til_cor,7.3,3.40000009536743,6.5,5 = ganz unterstaendig,1 = ja,2 = normal,1 = leicht,0 = kein Schaden,1 = leicht,1 = leicht,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Käferbefall am Stamm,0 = kein Schaden,NA,NA,NA,NA,NA,NA,8.71486811101801,2
P81.B55.0,81,55,0,BAUM,5687934.90270391,315406.296648618,108.767389922268,Ace_pse,11.3,4.80000019073486,11.3000001907349,4 = beherrscht/unterdrueckt,1 = ja,3 = kuemmernd,1 = leicht,2 = mittel,2 = mittel,1 = leicht,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Käferbefall am Stamm,0 = kein Schaden,NA,NA,NA,NA,NA,NA,15.743536023906097,2
P81.B56.0,81,56,0,BAUM,5687936.41276871,315403.655126179,108.655762417851,Ace_pse,8.9,4.69999980926514,9.5,5 = ganz unterstaendig,1 = ja,2 = normal,1 = leicht,1 = leicht,1 = leicht,1 = leicht,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,1 = vereinzelte Einbohrversuche,0 = kein Schaden,NA,NA,NA,NA,NA,NA,14.215922803017138,2
P81.B57.0,81,57,0,BAUM,5687935.94391957,315401.855202439,108.633804781198,Ulm_min,8.2,4.09999990463257,10.6000003814697,4 = beherrscht/unterdrueckt,1 = ja,2 = normal,0 = kein Schaden,1 = leicht,1 = leicht,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Käferbefall am Stamm,0 = kein Schaden,NA,NA,NA,NA,NA,NA,9.140416716926396,2
P81.B58.0,81,58,0,BAUM,5687937.60364123,315400.913916332,108.652150613954,Ulm_min,7.7,4.69999980926514,10.5,4 = beherrscht/unterdrueckt,1 = ja,2 = normal,0 = kein Schaden,1 = leicht,2 = mittel,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Käferbefall am Stamm,0 = kein Schaden,NA,NA,NA,NA,NA,NA,8.901748195858259,2
P81.B59.0,81,59,0,BAUM,5687937.77348291,315398.92722687,108.667739000562,Ulm_min,7.4,4.09999990463257,8.89999961853027,4 = beherrscht/unterdrueckt,1 = ja,3 = kuemmernd,2 = mittel,1 = leicht,2 = mittel,2 = mittel,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,3 = starker Befall auch mit Spechtspuren,0 = kein Schaden,NA,NA,NA,NA,NA,NA,8.761254055852563,2
P81.B60.0,81,60,0,BAUM,5687938.43307774,315397.60300566,108.683688249514,Til_cor,5.9,2,7.40000009536743,5 = ganz unterstaendig,1 = ja,2 = normal,1 = leicht,1 = leicht,1 = leicht,1 = leicht,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Käferbefall am Stamm,0 = kein Schaden,NA,NA,NA,NA,NA,NA,8.088259408283129,2
P81.B61.0,81,61,0,BAUM,5687940.40717001,315396.473014077,108.692306260341,Til_cor,7,2.79999995231628,7.59999990463257,5 = ganz unterstaendig,1 = ja,2 = normal,1 = leicht,0 = kein Schaden,1 = leicht,1 = leicht,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Käferbefall am Stamm,0 = kein Schaden,NA,NA,NA,NA,NA,NA,8.577033340710955,2
P81.B62.0,81,62,0,BAUM,5687939.73427302,315392.209653249,108.683914181257,Que_rob,32.1,19.3999996185303,31,3 = mitherrschend,3 = teilweise,2 = normal,1 = leicht,1 = leicht,0 = kein Schaden,1 = leicht,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Käferbefall am Stamm,0 = kein Schaden,NA,NA,NA,NA,NA,NA,28.66867115326086,1
P81.B63.0,81,63,0,BAUM,5687944.49846252,315395.645513304,108.643500725904,Ace_pla,10.1,4.09999990463257,11.8000001907349,4 = beherrscht/unterdrueckt,1 = ja,2 = normal,1 = leicht,0 = kein Schaden,1 = leicht,1 = leicht,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Käferbefall am Stamm,0 = kein Schaden,NA,NA,NA,NA,NA,NA,14.962331730135498,1
P81.B64.0,81,64,0,BAUM,5687945.82676019,315393.459673299,108.625038843494,Til_cor,35.7,12.8000001907349,28.1000003814697,4 = beherrscht/unterdrueckt,1 = ja,2 = normal,1 = leicht,1 = leicht,1 = leicht,2 = mittel,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Käferbefall am Stamm,0 = kein Schaden,NA,NA,NA,NA,NA,NA,34.94771991520283,1
P81.B65.0,81,65,0,BAUM,5687947.82470213,315397.125459585,108.734449166419,Que_rob,49.8,20.2999992370605,33.0999984741211,2 = herrschend,2 = nein,2 = normal,0 = kein Schaden,1 = leicht,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Käferbefall am Stamm,0 = kein Schaden,NA,NA,NA,NA,NA,NA,53.69666627302028,1
P81.B66.0,81,66,0,BAUM,5687942.06428425,315388.512154428,108.593009296563,Til_cor,28.4,13.1999998092651,26.7000007629395,3 = mitherrschend,3 = teilweise,2 = normal,1 = leicht,1 = leicht,0 = kein Schaden,1 = leicht,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,1 = vereinzelte Einbohrversuche,0 = kein Schaden,NA,NA,NA,NA,NA,NA,25.082729038735952,1
P81.B67.0,81,67,0,BAUM,5687943.77316214,315384.642877815,108.697612173863,Que_rob,43.1,17,29.7999992370605,2 = herrschend,2 = nein,2 = normal,1 = leicht,1 = leicht,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,1 = vereinzelte Einbohrversuche,0 = kein Schaden,NA,NA,NA,NA,NA,NA,42.02858065838638,1
P81.B68.0,81,68,0,BAUM,5687947.07571308,315385.214175701,108.589062441602,Til_cor,5,2.20000004768372,6.69999980926514,5 = ganz unterstaendig,1 = ja,2 = normal,1 = leicht,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Käferbefall am Stamm,0 = kein Schaden,NA,NA,NA,NA,NA,NA,7.707148206789541,2
P81.B69.0,81,69,0,BAUM,5687948.3556335,315382.406015882,108.602911441523,Til_cor,6,2.20000004768372,16.2000007629395,5 = ganz unterstaendig,1 = ja,2 = normal,1 = leicht,0 = kein Schaden,1 = leicht,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Käferbefall am Stamm,0 = kein Schaden,NA,NA,NA,NA,NA,NA,8.131634154629474,1
P81.B70.0,81,70,0,BAUM,5687945.77591599,315381.095097145,108.611095754472,Til_pla,5,1.89999997615814,6.09999990463257,5 = ganz unterstaendig,1 = ja,2 = normal,1 = leicht,0 = kein Schaden,0 = kein Schaden,1 = leicht,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Käferbefall am Stamm,0 = kein Schaden,NA,NA,NA,NA,NA,NA,7.707148206789541,2
P81.B71.0,81,71,0,BAUM,5687949.86277501,315382.220753158,108.671862452774,Que_rob,36.5,13.1000003814697,31.2999992370605,2 = herrschend,2 = nein,2 = normal,1 = leicht,1 = leicht,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Käferbefall am Stamm,0 = kein Schaden,NA,NA,NA,NA,NA,NA,33.24840616559376,1
P81.B72.0,81,72,0,BAUM,5687951.10564661,315382.89616384,108.583520584304,Til_cor,8.1,4.19999980926514,9.19999980926514,5 = ganz unterstaendig,1 = ja,2 = normal,1 = leicht,0 = kein Schaden,1 = leicht,1 = leicht,0 = kein Schaden,0 = kein Schaden,0 = kein Schaden,0 = kein Käferbefall am Stamm,0 = kein Schaden,NA,NA,NA,NA,NA,NA,9.092227369382467,2
