"sp","dbh","n","cl","time","height","stem_volume","average_carbon_stock_per_cohort","total_carbon_total","total_carbon_above","total_carbon_below","ca_ind","ca_cohort","cumca","Species_Name","SP_code","k","p","a","b","c","Wood_Density","agb","carbon_above_per_tree","carbon_below_per_tree"
5,108.5,0.3615,1,0,39.7074791984272,16138.1303150925,5521.82266861205,1996.13889470326,1535.49145746404,460.647437239213,214.240368411923,77.44789318091,77.44789318091,"Que_rob","SEI",8.62866109840432,0.325694811647181,2.00333,0.85925,-2.86353,0.56,9037.3529764518,4247.55589893235,1274.2667696797
2,104.5,0.3615,1,0,44.0060470470763,13625.9396914792,4662.25152483652,1685.4039262284,1296.46455863723,388.93936759117,206.965769570019,74.8181256995619,152.266018880472,"Fra_exc","GES",3.95189769262084,0.518398405633361,1.95277,0.77206,-2.48079,0.56,7630.52622722835,3586.34732679732,1075.9041980392
2,95.5,0.3615,1,0,41.9987421839662,11023.8572681609,3771.92300287393,1363.55016553893,1048.88474272225,314.665422816675,186.526206143164,67.4292235207537,219.695242401226,"Fra_exc","GES",3.95189769262084,0.518398405633361,1.95277,0.77206,-2.48079,0.56,6173.3600701701,2901.47923297995,870.443769893984
2,92.5,0.3615,1,0,41.30954699434,10226.2658919291,3499.01913758246,1264.89541823606,972.9964755662,291.89894266986,178.478079345986,64.5198256835741,284.2150680848,"Fra_exc","GES",3.95189769262084,0.518398405633361,1.95277,0.77206,-2.48079,0.56,5726.7088994803,2691.55318275574,807.465954826722
5,92.5,0.3615,1,0,37.6968944147598,11211.3007627266,3836.05866897452,1386.73520883429,1066.71939141099,320.015817423298,178.478079345986,64.5198256835741,348.734893768374,"Que_rob","SEI",8.62866109840432,0.325694811647181,2.00333,0.85925,-2.86353,0.56,6278.32842712688,2950.81436074963,885.24430822489
2,87.5,0.3615,1,0,40.1365067571972,8972.85024289738,3070.15043910977,1109.85938373818,853.737987490908,256.121396247272,163.861854186125,59.2360602882841,407.970954056658,"Fra_exc","GES",3.95189769262084,0.518398405633361,1.95277,0.77206,-2.48079,0.56,5024.79613602253,2361.65418393059,708.496255179177
2,86.5,0.3615,1,0,39.8980577647454,8733.42003679309,2988.22699978912,1080.24406042377,830.956969556744,249.287090867023,160.782953181633,58.1230375751602,466.093991631818,"Fra_exc","GES",3.95189769262084,0.518398405633361,1.95277,0.77206,-2.48079,0.56,4890.71522060413,2298.63615368394,689.590846105182
5,85.5,0.3615,1,0,36.7430117532506,9367.56691927399,3205.20669709879,1158.68222100121,891.294016154779,267.388204846434,157.660182392421,56.9941559348603,523.088147566678,"Que_rob","SEI",8.62866109840432,0.325694811647181,2.00333,0.85925,-2.86353,0.56,5245.83747479344,2465.54361315291,739.663083945875
2,84.5,0.3615,1,0,39.4171426240988,8265.69233596226,2828.18928967285,1022.39042821673,786.454175551334,235.9362526654,154.497482571464,55.8508399495844,578.938987516263,"Fra_exc","GES",3.95189769262084,0.518398405633361,1.95277,0.77206,-2.48079,0.56,4628.78770813887,2175.53022282527,652.65906684758
5,84.5,0.3615,1,0,36.6024911881276,9119.2914209702,3120.25675259916,1127.9728160646,867.671396972768,260.30141909183,154.497482571464,55.8508399495844,634.789827465847,"Que_rob","SEI",8.62866109840432,0.325694811647181,2.00333,0.85925,-2.86353,0.56,5106.80319574331,2400.19750199936,720.059250599807
