"","Tree_ID","PLOTID","DBH24","SP","Status","H24","Wood_Density","a","b","c","Carbon_Above","Carbon_Below","Carbon_Total","G1"
"1","P81.B1.0",81,16.9,"Ulm_spe","2 - zu THS",13.80000019,0.508,1.94295,1.29229,-4.20064,25.8478022708466,7.75434068125398,33.6021429521006,1.205
"2","P81.B2.0",81,7.9,"Ulm_spe","1 - Nein",5.5,0.508,1.94295,1.29229,-4.20064,1.796613483789,0.538984045136699,2.33559752892569,1.205
"3","P81.B3.0",81,9.5,"Car_bet","1 - Nein",10.10000038,0.706,0.00021491,2.258957614,0.001411006,61.7227013085701,18.516810392571,80.2395117011411,0.34264705882353
"4","P81.B4.0",81,11.8,"Ulm_spe","1 - Nein",8,0.508,1.94295,1.29229,-4.20064,6.35790600656546,1.90737180196964,8.2652778085351,1.205
"5","P81.B5.0",81,49.7,"Car_bet","1 - Nein",26.20000076,0.706,0.00021491,2.258957614,0.001411006,531.817280013319,159.545184003996,691.362464017315,0.34264705882353
"6","P81.B6.0",81,35.8,"Car_bet","1 - Nein",21.29999924,0.706,0.00021491,2.258957614,0.001411006,333.121359762968,99.9364079288905,433.057767691859,0.34264705882353
"7","P81.B7.0",81,29.6,"Car_bet","1 - Nein",22.70000076,0.706,0.00021491,2.258957614,0.001411006,384.624118696826,115.387235609048,500.011354305874,0.34264705882353
"8","P81.B8.0",81,27.5,"Car_bet","1 - Nein",18.70000076,0.706,0.00021491,2.258957614,0.001411006,248.233847601252,74.4701542803757,322.704001881628,0.34264705882353
"9","P81.B9.0",81,24.7,"Car_bet","1 - Nein",17.5,0.706,0.00021491,2.258957614,0.001411006,213.690354818205,64.1071064454615,277.797461263666,0.34264705882353
"10","P81.B10.0",81,6.5,"Til_spe","1 - Nein",6,0.422,0.044,2.79,0,31.9315856505731,9.57947569517192,41.511061345745,0.508333333333333
"11","P81.B11.0",81,7.9,"Car_bet","1 - Nein",7.599999905,0.706,0.00021491,2.258957614,0.001411006,32.4660025688642,9.73980077065927,42.2058033395235,0.34264705882353
"12","P81.B12.0",81,11.5,"Til_spe","1 - Nein",5.400000095,0.422,0.044,2.79,0,24.4039218240283,7.32117654720849,31.7250983712368,0.508333333333333
"13","P81.B13.0",81,10.6,"Til_spe","1 - Nein",8.199999809,0.422,0.044,2.79,0,77.9945733826725,23.3983720148017,101.392945397474,0.508333333333333
"14","P81.B14.0",81,9.9,"Til_spe","1 - Nein",8,0.422,0.044,2.79,0,72.5837364849516,21.7751209454855,94.358857430437,0.508333333333333
"15","P81.B15.0",81,112,"Que_rob","1 - Nein",38.90000153,0.56,2.00333,0.85925,-2.86353,4447.28291573094,1334.18487471928,5781.46779045022,0.304861111111111
"16","P81.B16.0",81,13.2,"Ulm_spe","1 - Nein",10.69999981,0.508,1.94295,1.29229,-4.20064,11.5114032967465,3.45342098902395,14.9648242857704,1.205
"17","P81.B17.0",81,85.5,"Que_rob","1 - Nein",38.70000076,0.56,2.00333,0.85925,-2.86353,2577.96453106837,773.389359320512,3351.35389038889,0.304861111111111
"18","P81.B18.0",81,10.2,"Ulm_spe","1 - Nein",8.199999809,0.508,1.94295,1.29229,-4.20064,4.94560004540771,1.48368001362231,6.42928005903002,1.205
"19","P81.B19.0",81,6.8,"Ulm_spe","1 - Nein",8.199999809,0.508,1.94295,1.29229,-4.20064,2.24948178020198,0.674844534060593,2.92432631426257,1.205
"20","P81.B20.0",81,16,"Ulm_spe","1 - Nein",9.899999619,0.508,1.94295,1.29229,-4.20064,15.1300757404461,4.53902272213382,19.6690984625799,1.205
"21","P81.B21.0",81,6.8,"Ulm_spe","1 - Nein",8.300000191,0.508,1.94295,1.29229,-4.20064,2.28499592875905,0.685498778627716,2.97049470738677,1.205
"22","P81.B22.0",81,9.1,"Til_spe","1 - Nein",8.300000191,0.422,0.044,2.79,0,80.1375453706762,24.0412636112029,104.178808981879,0.508333333333333
