Status,Total_Aboveground_Carbon,Total_Belowground_Carbon,Total_Carbon_Stock
Alive,50546.33521138674,15163.90056341604,65710.23577480282
Dead,4347.126553128667,1304.1379659385998,5651.264519067267
New Trees,483.07418372937207,144.92225511881156,627.9964388481836
