sp,Species_Name,SP_code,k,p,a,b,c,Wood_Density
1,Ace_pse,BAH,2.82157384964318,0.513423447059104,1.89756,0.97716,-2.94253,0.51
2,Fra_exc,GES,3.95189769262084,0.518398405633361,1.95277,0.77206,-2.48079,0.56
3,Car_bet,HBU,1.14862444142167,0.843509305258925,0.00021491,2.258957614,0.001411006,0.706
4,Ace_pla,SAH,2.66852277140583,0.607376375728583,1.89756,0.97716,-2.94253,0.525
5,Que_rob,SEI,8.62866109840432,0.325694811647181,2.00333,0.85925,-2.86353,0.56
6,Ulm_spe,UL,2.82231852357638,0.440378264732988,1.94295,1.29229,-4.20064,0.508
7,Til_spe,WLI,1.0585102500138,0.888803708564362,1.94295,1.29229,-4.20064,0.422
