"term","estimate","std.error","statistic","p.value"
"(Intercept)",14.3006740989201,0.600100936048512,23.8304479127892,1.28877466986632e-15
"ba2",0.726920169777004,0.0209002612290326,34.7804346467802,1.14394897852898e-18
