numtrees,ba,timb_vol,maxdbh,densVLT,totcarea,Dstar,numcohorts,time
454.73699999999957,25.39973355267316,NA,90.5,2.1264,11356.513416912783,5.5,291,0
469.48962284244055,24.771182474135653,NA,92.32155650803503,2.8710777086872334,11378.40724826209,5,297,5
484.8467290826968,24.271082478731188,NA,94.14311301607006,3.398131846601384,11441.79980583776,5,304,10
500.6570282269657,23.894087818881577,NA,95.96466952410509,3.5387409628588538,11543.101821018136,5,311,15
516.7593602240896,23.63323735520641,NA,97.78622603214012,3.3876641685012263,11678.335273514675,5,318,20
533.0430998978848,23.482693622410885,NA,99.60778254017515,3.879214346282992,11844.429667651699,5,325,25
549.4945239345286,23.43818769118817,NA,101.42933904821018,4.302819204339964,12039.737997275686,5,332,30
566.0729004821,23.493863233064374,NA,103.25089555624521,4.912580676622637,12262.088187690448,5,339,35
582.7440135505587,23.644510180734155,NA,105.07245206428024,5.452478418563463,12509.574014340422,5,346,40
599.4767170626604,23.884923475116207,NA,106.89400857231527,5.510130442075035,12780.25911942643,5,353,45
616.0150317625443,24.207391595413913,NA,108.7155650803503,5.888851129844541,13069.19293165726,5,360,50
632.4530999302425,24.60842167720345,NA,110.53712158838533,5.8901517938945815,13376.782975129663,5,367,55
648.860490659542,25.084529290276734,NA,112.35867809642036,5.509668693428453,13702.84071603513,5,374,60
665.0461285906105,25.62922228688991,NA,114.18023460445539,5.893339119878363,14043.684409397816,5,381,65
681.0917697247984,26.24080391541016,NA,116.00179111249042,5.943496853469864,14399.552783330018,5,388,70
696.9089186273113,26.914156988683235,NA,117.82334762052545,5.897211078685663,14768.134779343316,6.275453272820035,395,75
712.576080143167,27.65083387067661,NA,119.64490412856048,5.917009248619431,15149.555756340207,9.629506516253855,402,80
727.638559757085,28.44040123645434,NA,121.46646063659551,5.645307480775872,15536.27677673901,9.629506516253855,409,85
742.6285978594285,29.284724930337607,NA,123.28801714463054,5.473926518562918,15935.922721553346,11.451063024288885,416,90
757.2623452139818,30.178688134633944,NA,125.10957365266557,5.6274920290906545,16342.823622297903,11.17267535500514,423,95
771.8202516514576,31.123396910593485,NA,126.9311301607006,5.4955439459944415,16761.24097664144,11.17267535500514,430,100
