numtrees,ba,timb_vol,maxdbh,densVLT,totcarea,Dstar,numcohorts,time
449.01699999999994,31.565956077306605,NA,119.5,5.2368,12932.870647142236,10.5,262,0
473.62640363011394,32.354388703815296,NA,121.47712668862778,6.970644494706914,13422.403626554618,11.954319431397275,268,5
497.56442378054845,33.16972329016,NA,123.45425337725555,6.957551052460635,13915.100348698175,13.40863886279455,275,10
520.9225785940456,34.017511421529676,NA,125.43138006588333,6.878703679634857,14412.309721621126,12.035624129859222,282,15
543.6723851810707,34.89889678623506,NA,127.40850675451111,8.544919543620804,14913.340308395202,13.489943561256498,289,20
565.8974040272109,35.82070148230398,NA,129.3856334431389,9.481908375711178,15419.645508454543,13.392706883098704,296,25
587.6774352054929,36.78941660091857,NA,131.36276013176666,9.893936469323693,15932.949300115448,14.571248259718445,303,30
609.0124748588357,37.8086392829944,NA,133.33988682039444,11.115259281333921,16453.446391654485,16.025567691115718,310,35
629.9290860231274,38.8832526223454,NA,135.31701350902222,12.509807753757247,16981.946377551543,17.47988712251299,317,40
650.4377628853317,40.01949554965582,NA,137.29414019765,13.8866567390592,17519.45284552578,18.934206553910265,319,45
670.6440083609864,41.22330177476503,NA,139.27126688627777,15.273378752788894,18068.328324449896,18.285413766197404,326,50
690.4987889540396,42.49675897651656,NA,141.24839357490555,17.34739755794336,18628.144543511797,19.463955142817145,331,55
710.0888361861062,43.847402210880176,NA,143.22552026353333,19.404797002127996,19201.825515009994,20.642496519436886,338,60
729.3943715677906,45.279240603270736,NA,145.2026469521611,19.702417482776116,19789.58735627025,22.09681595083416,345,65
699.1540392801168,46.6740426044908,NA,147.17977364078888,20.28547159725142,20000,23.551135382231433,348,70
651.2089940332006,47.90187424809223,NA,149.15690032941666,21.639456460926002,20000,25.005454813628706,349,75
612.2244441847643,48.99537854840979,NA,151.13402701804443,21.433363742286833,20000,26.45977424502598,348,80
576.8598547233383,50.463368129761356,NA,153.1111537066722,22.67878972668258,20000,27.914093676423253,348,85
543.0597483918692,51.957799865869276,NA,155.0882803953,22.4193821423492,20000,29.368413107820526,350,90
510.96345358384053,53.38132541629426,NA,157.06540708392777,23.586745966081157,20000,30.8227325392178,350,95
480.46796650648054,54.78100569335544,NA,159.04253377255554,24.81459779198385,20000,32.27705197061508,345,100
