numtrees,ba,timb_vol,maxdbh,densVLT,totcarea,Dstar,numcohorts,time
366.2102000000003,28.58886250078839,NA,108.5,5.422500000000001,11666.5902701925,7.5,298,0
401.8901842642924,28.521441726854253,NA,110.15604029478163,5.562286714417878,12050.087384891374,8.86085510768551,304,5
435.9826400475211,28.52890978625851,NA,111.81208058956327,7.499838012449739,12446.494388712668,8.99563312192667,311,10
468.7265982128977,28.61365202389381,NA,113.4681208843449,6.840178639234736,12857.387092030202,9.58256532305653,318,15
500.00988304315797,28.776469055914678,NA,115.12416117912653,7.279072872318729,13279.233457717188,10.943420430742039,325,20
530.1066608109795,29.022814242977155,NA,116.78020147390816,7.100811089922726,13714.540533328201,10.443420430742039,332,25
559.2770264798605,29.35573722434727,NA,118.4362417686898,7.3030793459777925,14166.833532788869,12.081358400458194,339,30
587.4492337033412,29.77549896074005,NA,120.09228206347143,7.194049587976576,14632.928638450088,11.804275538427548,346,35
614.87050446795,30.284280829851387,NA,121.74832235825306,7.777354894246761,15116.857539418657,13.442213508143704,353,40
641.4907184091569,30.883319175382123,NA,123.4043626530347,8.165515785599368,15616.419181583771,13.165130646113058,360,45
667.3951009407472,31.569946266641246,NA,125.06040294781633,8.647523212593313,16132.448426894562,13.165130646113058,367,50
692.6607910305299,32.34848820263854,NA,126.71644324259796,8.984404725885828,16665.646627648246,14.525985753798567,374,55
717.3743434992305,33.22067402427501,NA,128.3724835373796,9.754089885621836,17217.329803614914,16.16392372351472,381,60
741.4858414129678,34.18610007233769,NA,130.02852383216123,9.543800907128412,17785.62638203023,17.801861693230876,387,65
765.0477990567322,35.24539920438078,NA,131.68456412694286,9.917959227194705,18371.001039475505,17.247695969169587,393,70
788.1218805278088,36.39835276163376,NA,133.3406044217245,9.906658214878782,18974.46174707417,18.608551076855097,400,75
810.747076795245,37.648798004055834,NA,134.99664471650613,10.613005788612373,19596.847237170135,19.969406184540606,405,80
801.9953740899274,38.937410666172234,NA,136.65268501128776,10.240636609758834,20000,19.969406184540606,410,85
746.1827585758638,40.09646788513571,NA,138.3087253060694,11.314397727331267,20000,21.330261292226115,409,90
698.1685320990437,41.149475032959636,NA,139.96476560085102,11.519013095578776,20000,22.691116399911625,410,95
656.1634924533039,42.138739801723936,NA,141.62080589563266,11.62984963929426,20000,24.051971507597134,409,100
