dbh,n,rel_freq,time
7.5,167.9985,0.37414730399962587,0
12.5,75.49029999999999,0.16812347862107668,0
17.5,37.9638,0.08454869192035046,0
22.5,32.7271,0.0728861045350176,0
27.5,21.8183,0.048591256010351504,0
32.5,12.654700000000004,0.028183120015500534,0
37.5,16.145500000000002,0.03595743590999896,0
42.5,18.3271,0.04081604928098491,0
47.5,10.0364,0.022351937677192624,0
52.5,10.909300000000002,0.02429596206825132,0
57.5,9.600100000000001,0.021380259544738843,0
62.5,13.527300000000002,0.030126476280408095,0
67.5,7.8546,0.017492878888772583,0
72.5,6.109,0.01360527552408929,0
77.5,2.6182,0.005830959629590861,0
82.5,1.7456,0.0038876033646832973,0
87.5,0.4364,9.719008411708243e-4,0
92.5,0.4364,9.719008411708243e-4,0
97.5,0.4364,9.719008411708243e-4,0
102.5,1.3092000000000001,0.002915702523512473,0
107.5,0.4364,9.719008411708243e-4,0
117.5,0.4364,9.719008411708243e-4,0
2.5,55.79529175015182,0.11780443683567525,5
7.5,125.10364942418062,0.26413993912780726,5
12.5,81.94733650964699,0.17302104756314435,5
17.5,41.45179861479586,0.0875200332943606,5
22.5,30.471834964108595,0.06433728088332263,5
27.5,26.086447671421492,0.05507811108392957,5
32.5,14.402124260084289,0.030408195467353738,5
37.5,13.168040278831347,0.02780258908267101,5
42.5,17.736695282219596,0.037448704604043447,5
47.5,11.573823090330492,0.02443660868909084,5
52.5,9.907644343201353,0.0209186909075679,5
57.5,9.983972705435042,0.021079848228292987,5
62.5,12.051721138092345,0.02544562770513175,5
67.5,8.266807065083299,0.017454278312446846,5
72.5,6.217785090511742,0.013128037294490906,5
77.5,2.4907869473123228,0.005258969787625145,5
82.5,3.3437389539420836,0.007059866021644832,5
87.5,0.41922107055517205,8.851302785107589e-4,5
92.5,0.8384421411103441,0.0017702605570215177,5
102.5,1.1846211645496572,0.0025011721379342806,5
107.5,0.7897474430331047,0.001667448091956187,5
122.5,0.39487372151655237,8.337240459780935e-4,5
2.5,55.79529175015182,0.11213681903986054,10
7.5,132.0994723623123,0.2654921976909166,10
12.5,99.52734050591332,0.20002905302130292,10
17.5,38.37936070405401,0.07713445509717813,10
22.5,31.971640956657208,0.06425628406816795,10
27.5,25.714910030803086,0.051681568861813756,10
32.5,17.822592353704675,0.0358196677694251,10
37.5,11.634099675311138,0.023382097109986264,10
42.5,15.91111452129304,0.03197799874918442,10
47.5,12.493442387044746,0.0251091954929539,10
52.5,10.629267255231353,0.021362594967037702,10
57.5,9.029491684692587,0.018147382033638044,10
62.5,10.783654236573712,0.021672880377255156,10
67.5,8.611621074798817,0.01730754986332582,10
72.5,6.715724791400812,0.013497196484374847,10
77.5,3.4878484381449733,0.007009842889577844,10
82.5,3.2028838671817894,0.006437123946374485,10
87.5,0.8054367827562995,0.001618758786322591,10
92.5,0.40271839137814974,8.093793931612954e-4,10
97.5,0.40271839137814974,8.093793931612954e-4,10
102.5,0.7145978732554159,0.0014361916549937878,10
107.5,1.0718968098831239,0.0021542874824906815,10
122.5,0.35729893662770795,7.180958274968939e-4,10
2.5,55.79529175015182,0.10710860700402292,15
7.5,131.17709212527149,0.2518168678334401,15
12.5,113.79937246407953,0.2184573622652731,15
17.5,49.24862304046651,0.09454115652538446,15
22.5,31.203893442650774,0.05990121128339104,15
27.5,23.963618223485042,0.046002264459648015,15
32.5,21.64569225454148,0.04155260905173773,15
37.5,11.592891103238399,0.022254537583161156,15
42.5,12.166581128222496,0.023355833723045262,15
47.5,15.414819520381943,0.029591382969012578,15
52.5,7.822872584076932,0.015017342126330244,15
57.5,9.362891356782217,0.017973671600206673,15
62.5,7.604444440216771,0.0145980319392969,15
67.5,11.948758946171093,0.022937686783361253,15
72.5,6.458997540577127,0.012399150672274128,15
77.5,4.838034994096911,0.009287435778181523,15
82.5,2.6177138175923096,0.005025149465890772,15
87.5,1.5474613672392732,0.0029706168072342466,15
92.5,0.3868653418098183,7.426542018085617e-4,15
97.5,0.3868653418098183,7.426542018085617e-4,15
102.5,0.3232996351972728,6.206289542485355e-4,15
107.5,0.96989890559181835,0.0018618868627456064,15
112.5,0.3232996351972728,6.206289542485355e-4,15
127.5,0.3232996351972728,6.206289542485355e-4,15
2.5,55.79529175015182,0.10262667972655841,20
7.5,142.61103923882803,0.26231061780217385,20
12.5,116.62451826795686,0.21451249216771417,20
17.5,53.64455549962629,0.09867073804338974,20
22.5,32.253211982349775,0.059324719925967585,20
27.5,25.943736631696403,0.0477194305593723,20
32.5,21.24387072996925,0.039074765077306554,20
37.5,12.155109757879659,0.022357416137351524,20
42.5,11.690577521179724,0.021502982016065004,20
47.5,13.297716749888846,0.02445906231831148,20
52.5,10.887127738916158,0.020025162277260398,20
57.5,8.406709551238103,0.01546282242832371,20
62.5,8.329172535573685,0.015320205260746594,20
67.5,10.137639506847492,0.01864659633847532,20
72.5,7.341550468251119,0.013503629517261594,20
77.5,4.765637707096371,0.008765642392355779,20
82.5,2.735551153273107,0.005031616885161511,20
87.5,2.9392458217080106,0.005406281249192181,20
92.5,0.37163634911595916,6.835667200425959e-4,20
97.5,0.7432726982319183,0.0013671334400851918,20
107.5,0.5850711737639361,0.0010761465722947798,20
112.5,0.8776067606459041,0.0016142198584421694,20
127.5,0.29253558688196807,5.380732861473899e-4,20
2.5,55.79529175015182,0.09859612599931433,25
7.5,166.4343977563604,0.294107017582921,25
12.5,104.4089345428113,0.1845015258945962,25
17.5,68.94310965405147,0.12182969768621932,25
22.5,26.903806219329063,0.04754184420686154,25
