dbh,n,rel_freq,time
7.5,116.40700000000001,0.3178693548131647,0
12.5,53.86559999999999,0.14708929461822745,0
17.5,39.043499999999995,0.10661499870839206,0
22.5,29.64379999999999,0.08094749955080441,0
27.5,20.606199999999998,0.056268776784480605,0
32.5,16.990900000000003,0.04639657770318796,0
37.5,13.737099999999998,0.03751151660985958,0
42.5,11.568200000000001,0.03158896174929044,0
47.5,14.8217,0.04047320364096904,0
52.5,11.206600000000002,0.030601550694109563,0
57.5,7.5916000000000015,0.02073017081446667,0
62.5,11.206700000000001,0.03060182376132615,0
67.5,6.5072,0.017769029917790384,0
72.5,2.892,0.007897103903714314,0
77.5,4.699599999999999,0.012833066910752347,0
82.5,2.5305,0.006909965915750026,0
87.5,1.0845,0.0029614139638928683,0
92.5,0.723,0.0019742759759285786,0
97.5,0.3615,9.871379879642893e-4,0
102.5,0.3615,9.871379879642893e-4,0
107.5,0.3615,9.871379879642893e-4,0
2.5,61.200142542104174,0.15228075961630727,5
7.5,91.36909989936682,0.2273484237158684,5
12.5,54.850847469023485,0.13648217751183556,5
17.5,39.688699226085696,0.098755084796959,5
22.5,25.994273185716697,0.0646800399798325,5
27.5,24.814504145914814,0.06174448921000818,5
32.5,16.447926158564822,0.04092641921243907,5
37.5,13.815916709846352,0.03437734299268348,5
42.5,10.297407073892764,0.02562243985317378,5
47.5,14.666408337410417,0.03649357190511883,5
52.5,9.672848013039026,0.024068385822227322,5
57.5,9.60890423116679,0.023909278224241836,5
62.5,9.290447087547184,0.02311687981271412,5
67.5,6.330202095572296,0.015751074157634572,5
72.5,4.28403484718011,0.010659715053808895,5
77.5,3.9962365274431693,0.009943603212799914,5
82.5,2.270027669134642,0.00564837798487215,5
87.5,1.6461295226416186,0.004095968468737431,5
92.5,0.6544470085747558,0.0016284224750917921,5
97.5,0.3372355054921067,8.391235185538459e-4,5
107.5,0.3372355054921067,8.391235185538459e-4,5
112.5,0.31721150308264917,7.892989565379464e-4,5
2.5,61.200142542104174,0.14037288855224495,10
7.5,120.26284079136107,0.27584318673388636,10
12.5,56.50600011266801,0.12960607813767314,10
17.5,41.54882243343743,0.09529925877073621,10
22.5,31.749337701428306,0.0728224814134061,10
27.5,23.587534639134,0.05410200423705638,10
32.5,16.210799892075965,0.037182214159511104,10
37.5,12.181631441303367,0.027940634149964328,10
42.5,11.438073639440368,0.02623515844161513,10
47.5,12.246441708383795,0.02808928747036572,10
52.5,11.42089759858668,0.026195762283887807,10
57.5,7.80624335941465,0.017904940798935922,10
62.5,8.929235728910717,0.020480713929200152,10
67.5,6.395867302981429,0.014670004526520362,10
72.5,4.869236861134527,0.011168419138440452,10
77.5,2.129696282706752,0.004884818997551418,10
82.5,4.220495258848443,0.00968042043689726,10
87.5,1.4642461559969409,0.003358496466366969,10
92.5,0.3145996851023976,7.21587641810938e-4,10
97.5,0.907548298802177,0.00208161567787024,10
107.5,0.3145996851023976,7.21587641810938e-4,10
112.5,0.27834892859738186,6.384403942483642e-4,10
2.5,61.200142542104174,0.13056682248338466,15
7.5,140.85383118023285,0.300503175448679,15
12.5,71.13286591408432,0.15175769027251887,15
17.5,40.12501164199365,0.0856042985292008,15
22.5,30.529632751727583,0.06513313489809872,15
27.5,23.074188052914945,0.04922739213197914,15
32.5,18.186395820830317,0.03879958144079969,15
37.5,13.140429920986026,0.028034316744742497,15
42.5,11.041925377978794,0.023557283542427653,15
47.5,8.378844788755094,0.017875761308833144,15
52.5,13.373733833927476,0.028532056608089194,15
57.5,8.41088025202081,0.017944107042546262,15
62.5,7.381621302216352,0.015748244990491423,15
67.5,7.531154445343358,0.0160672649558553,15
72.5,4.7878723126237706,0.010214637553913887,15
77.5,2.7378894359232917,0.0058411224077361415,15
82.5,3.06492703246349,0.006538837446283317,15
87.5,1.5750929201010262,0.003360365991830513,15
92.5,0.8312139687085748,0.0017733449987214801,15
97.5,0.8312139687085749,0.0017733449987214803,15
107.5,0.2934832194555039,6.261287935748901e-4,15
112.5,0.24424752979756706,5.210874115716999e-4,15
2.5,61.200142542104174,0.12239786575742893,20
7.5,160.59658879158246,0.3211868289765799,20
12.5,84.02773510832851,0.16805214848338457,20
17.5,40.22154881997695,0.0804415076261708,20
22.5,31.468149668096487,0.06293505535645652,20
27.5,21.80387125496421,0.04360688057256307,20
32.5,18.977895373391945,0.037955040524176774,20
37.5,14.184787957809922,0.028369015171217277,20
42.5,10.07110115046548,0.020141804176291057,20
47.5,8.345814610669683,0.016691299299676686,20
52.5,11.26953704128517,0.022538628582092348,20
57.5,7.654270226198395,0.01530823786844574,20
62.5,7.4433478003173885,0.01488640135474067,20
67.5,7.222612128682455,0.014444938737459,20
72.5,4.9814389456479145,0.009962680968083878,20
77.5,3.2619687513180127,0.00652380855247307,20
82.5,3.1336291055342134,0.006267134334350222,20
87.5,1.6454430049465947,0.0032908209632419804,20
92.5,1.2500003809189597,0.002499951347583798,20
97.5,0.48810812702029904,9.761969584472563e-4,20
102.5,0.2737841268783616,5.475574306892854e-4,20
112.5,0.2737841268783616,5.475574306892854e-4,20
117.5,0.21432400014193745,4.286395277579709e-4,20
2.5,61.200142542104174,0.11544873337089868,25
7.5,182.76470342813516,0.3447696792727224,25
12.5,80.72007915679771,0.1522713920125221,25
17.5,48.75634947940855,0.0919746026296275,25
22.5,33.45997311295095,0.063119322178979,25
27.5,24.36903949281491,0.04597006846798366,25
32.5,19.97483048901561,0.03768077627709352,25
37.5,12.246901707171384,0.023102712364405236,25
42.5,10.723742415689,0.020229405152697704,25
