numtrees,ba,timb_vol,maxdbh,densVLT,totcarea,Dstar,numcohorts,time
108,11.59491162605287,NA,112.5,3,4607.794249329927,5.5,81,0
215.74944444153087,11.274204610055927,NA,114.02430555555556,2.531367551295398,5446.46463465847,5,87,5
307.25895110120626,11.429223718325815,NA,115.54861111111111,2.1359405599170866,6358.788567370014,5,93,10
385.55585985384,12.097187650159281,NA,117.07291666666667,1.8022835416232788,7340.614192272058,5,99,15
453.0114434717632,13.252219092992013,NA,118.59722222222223,1.520747358499639,8386.494190815183,5,105,20
511.51373934341404,14.835085573113846,NA,120.12152777777779,1.283190172341392,9489.680030780359,5,111,25
562.5823843975256,16.772626272518252,NA,121.64583333333334,1.4436559841805108,10641.973172173826,5,118,30
610.9552046276705,18.821223943775543,NA,123.1701388888889,1.2181413045293226,11800.553611523077,5,122,35
660.641861555175,20.919465334303965,NA,124.69444444444446,1.1825843319309814,13005.71632904291,5,129,40
708.4431658949206,22.99250031438675,NA,126.21875000000001,1.282958063816911,14211.575803936887,6.125,135,45
757.9266554007875,25.099170869892994,NA,127.74305555555557,1.1630999932437738,15467.53315453815,10.233288770053477,141,50
806.1291104526923,27.26293545639664,NA,129.26736111111111,1.2712900042094504,16735.131463968373,11.946524064171125,148,55
852.9877800308793,29.536127945034206,NA,130.79166666666666,1.537137826352551,18017.558250712584,13.659759358288774,155,60
898.5011713199112,31.96922030760441,NA,132.3159722222222,1.3503052401981175,19322.54797981158,15.372994652406422,162,65
857.2655130732801,34.43224094135485,NA,133.84027777777774,3.3897242709823003,20000,15.840909090909083,167,70
754.7314069857822,36.483114489337964,NA,135.3645833333333,4.99997690717199,20000,17.647727272727263,169,75
673.9792834670537,38.809030458828474,NA,136.88888888888883,6.271120547854666,20000,19.36096256684491,168,80
602.0549154910432,40.94983739395539,NA,139.92500000000007,7.27435430319713,20000,22.225935828877017,163,85
539.9344686436432,42.72391155311001,NA,145.95000000000007,9.79368689507961,20000,23.939171122994665,158,90
486.190043802198,44.15847905493294,NA,151.97500000000008,8.698502223020743,20000,25.652406417112314,151,95
441.43862577023765,45.10041872543004,NA,142.986111111111,7.819359124832104,20000,26.58823529411763,135,100
