Tree_ID,DBH20,Height20,xxx,DBH24,Height24,Species
P81.B1.0,16.9,13.80000019,NA,16.9,NA,Ulm_spe
P81.B2.0,5.2,5.5,NA,7.9,NA,Ulm_spe
P81.B3.0,6.5,10.100000380000001,NA,9.5,NA,Car_bet
P81.B4.0,7.8,8,NA,11.8,NA,Ulm_min
P81.B5.0,48.7,26.200000760000002,NA,49.7,NA,Car_bet
P81.B6.0,35.6,21.299999239999998,NA,35.8,NA,Car_bet
P81.B7.0,28.6,22.700000760000002,NA,29.6,NA,Car_bet
P81.B8.0,26.4,18.700000760000002,NA,27.5,NA,Car_bet
P81.B9.0,23.6,17.5,NA,24.7,NA,Car_bet
P81.B10.0,5.2,6,NA,6.5,NA,Til_cor
P81.B11.0,6.3,7.599999905,NA,7.9,NA,Car_bet
P81.B12.0,7.6,5.400000095,NA,11.5,NA,Til_cor
P81.B13.0,7.9,8.199999809,NA,10.6,NA,Til_cor
P81.B14.0,7.8,8,NA,9.9,NA,Til_cor
P81.B15.0,111.6,38.90000153,NA,112,NA,Que_rob
P81.B16.0,9.7,10.69999981,NA,13.2,NA,Ulm_min
P81.B17.0,84.3,38.70000076,NA,85.5,NA,Que_rob
P81.B18.0,7.4,8.199999809,NA,10.2,NA,Ulm_min
P81.B19.0,5.2,8.199999809,NA,6.8,NA,Ulm_spe
P81.B20.0,12.5,9.899999619,NA,16,NA,Ulm_spe
P81.B21.0,5.6,8.300000191,NA,6.8,NA,Ulm_spe
P81.B22.0,7.6,8.300000191,NA,9.1,NA,Til_cor
P81.B23.0,5.2,7.699999809,NA,5.8,NA,Ulm_spe
P81.B24.0,110,40,NA,111.5,NA,Que_rob
P81.B25.0,6.8,7.900000095,NA,8.5,NA,Ulm_spe
P81.B26.1,15.6,10.80000019,NA,17.6,NA,Ulm_min
P81.B26.2,7.2,7.900000095,NA,7.9,NA,Ulm_min
P81.B27.0,12.2,12,NA,13.8,NA,Ulm_min
P81.B28.0,6.8,11.19999981,NA,7,NA,Ulm_spe
P81.B29.0,86.5,31.700000760000002,NA,0,NA,Fra_exc
P81.B30.0,7.5,6.699999809,NA,9.4,7.3,Ulm_min
P81.B32.0,12.7,10.399999619999999,NA,16,NA,Ulm_min
P81.B33.0,5,6.400000095,NA,0,NA,Ulm_spe
P81.B34.0,15.3,11.30000019,NA,20,NA,Ulm_min
P81.B35.0,7,3,NA,8,NA,Ulm_min
P81.B36.0,8.5,5.099999905,NA,6.1,NA,Ulm_min
P81.B38.0,7,6.699999809,NA,12,NA,Til_cor
P81.B39.0,14.9,13.100000380000001,NA,29,NA,Ulm_min
P81.B40.0,11,3.4000000950000002,NA,12.1,NA,Ulm_min
P81.B41.0,13.2,12.30000019,NA,13.5,NA,Ace_pse
P81.B42.0,9.6,11.5,NA,10.2,NA,Ace_pse
P81.B43.0,11.3,12.5,NA,16.3,NA,Ulm_min
P81.B44.0,14.1,11.100000380000001,NA,0,NA,Ulm_spe
P81.B45.0,5.2,8.100000381,NA,7.6,NA,Til_cor
P81.B46.0,7.8,10.100000380000001,NA,13.1,NA,Til_cor
P81.B47.1,16.5,15.399999619999999,NA,20.5,NA,Ulm_min
P81.B47.2,5.3,5,NA,6.6,NA,Ulm_min
P81.B48.1,13,12.5,NA,0,NA,Ulm_spe
P81.B48.2,10,9,NA,0,NA,Ulm_spe
P81.B49.0,6,7.800000191,NA,8,NA,Til_cor
P81.B50.0,6.5,8.5,NA,7,NA,Car_bet
P81.B51.0,33.3,31.799999239999998,NA,34.9,NA,Que_rob
P81.B52.0,5.6,7.5,NA,7.4,NA,Til_cor
P81.B53.0,7.2,8.899999619,NA,0,NA,Ace_pse
P81.B54.0,7.3,6.5,NA,13.6,NA,Til_cor
P81.B55.0,11.3,11.30000019,NA,12.4,NA,Ace_pse
P81.B56.0,8.9,9.5,NA,8.5,NA,Ace_pse
P81.B57.0,8.2,10.600000380000001,NA,12.6,NA,Ulm_min
P81.B58.0,7.7,10.5,NA,11.8,NA,Ulm_min
P81.B59.0,7.4,8.899999619,NA,0,NA,Ulm_min
P81.B60.0,5.9,7.400000095,NA,8.1,NA,Til_cor
P81.B61.0,7,7.599999905,NA,9.4,NA,Til_cor
P81.B62.0,32.1,31,NA,33.7,NA,Que_rob
P81.B63.0,10.1,11.80000019,NA,11.4,NA,Ace_pla
P81.B64.0,35.7,28.10000038,NA,36.8,NA,Til_cor
P81.B65.0,49.8,33.09999847,NA,51.9,NA,Que_rob
P81.B66.0,28.4,26.700000760000002,NA,29.9,NA,Til_cor
